Team,Season,rutung1,rutung2
1266,2004,1797,1860
1448,2004,1815,1874
1338,2004,1990,2083
1386,2004,1656,1721
1227,2004,1476,1530
1273,2004,1378,1434
1324,2004,1269,1317
1462,2004,1872,1949
1306,2004,912,972
1325,2004,1410,1463
1414,2004,1394,1447
1120,2004,1700,1776
1163,2004,1806,1887
1164,2004,987,1033
1225,2004,1179,1222
1278,2004,1461,1504
1283,2004,1448,1517
1305,2004,1524,1588
1350,2004,1427,1486
1362,2004,1457,1519
1376,2004,1547,1609
1400,2004,1836,1908
1428,2004,1661,1720
1205,2004,914,957
1210,2004,1528,1583
1220,2004,1169,1231
1269,2004,1299,1349
1290,2004,1044,1087
1403,2004,1724,1803
1404,2004,1084,1133
1450,2004,1290,1339
1104,2004,1612,1672
1116,2004,1475,1532
1117,2004,1269,1322
1119,2004,679,712
1129,2004,1279,1330
1133,2004,1273,1332
1140,2004,1685,1753
1142,2004,1381,1443
1145,2004,1067,1123
1155,2004,1425,1466
1158,2004,1395,1446
1160,2004,1731,1803
1173,2004,1897,1987
1174,2004,1300,1365
1177,2004,1450,1503
1190,2004,1483,1556
1193,2004,1377,1443
1199,2004,1552,1612
1203,2004,1385,1450
1206,2004,1289,1339
1207,2004,1557,1621
1208,2004,1958,2052
1211,2004,1591,1654
1224,2004,1022,1068
1231,2004,1633,1698
1240,2004,1249,1302
1242,2004,1858,1925
1243,2004,1433,1497
1246,2004,2176,2276
1254,2004,884,923
1258,2004,1227,1283
1261,2004,1835,1913
1275,2004,1256,1298
1276,2004,1517,1564
1277,2004,1752,1822
1284,2004,1013,1050
1286,2004,1054,1092
1301,2004,1748,1818
1319,2004,1212,1270
1320,2004,1250,1301
1328,2004,1966,2057
1329,2004,1601,1663
1331,2004,1185,1231
1332,2004,1795,1880
1334,2004,1067,1109
1343,2004,1298,1349
1348,2004,1489,1554
1349,2004,1418,1464
1351,2004,1057,1094
1361,2004,1448,1504
1364,2004,1399,1451
1369,2004,997,1038
1373,2004,1394,1458
1378,2004,1418,1480
1379,2004,1416,1484
1382,2004,1433,1496
1387,2004,1701,1776
1388,2004,1372,1438
1392,2004,959,1002
1397,2004,1666,1729
1405,2004,1344,1407
1406,2004,838,877
1420,2004,815,852
1423,2004,1633,1709
1424,2004,1678,1751
1433,2004,1361,1413
1435,2004,1496,1560
1437,2004,1373,1418
1444,2004,1434,1493
1449,2004,1406,1460
1455,2004,1443,1507
1458,2004,1795,1865
1102,2004,1387,1456
1106,2004,847,877
1113,2004,1637,1694
1124,2004,1525,1588
1130,2004,1689,1759
1153,2004,1541,1596
1157,2004,901,932
1166,2004,1764,1847
1181,2004,1854,1930
1187,2004,1289,1344
1214,2004,1094,1146
1221,2004,1500,1570
1226,2004,1240,1295
1228,2004,1911,1996
1238,2004,897,933
1241,2004,1235,1292
1268,2004,1662,1714
1272,2004,1743,1813
1280,2004,1866,1954
1293,2004,1288,1352
1296,2004,1464,1532
1304,2004,1461,1533
1309,2004,1094,1124
1310,2004,1392,1451
1314,2004,1674,1736
1333,2004,1420,1476
1344,2004,1708,1789
1353,2004,1461,1520
1354,2004,1291,1358
1356,2004,1680,1751
1371,2004,1630,1688
1374,2004,1461,1512
1390,2004,1766,1828
1395,2004,1294,1354
1409,2004,1717,1796
1427,2004,1112,1172
1439,2004,1306,1351
1454,2004,1669,1747
1463,2004,1188,1236
1127,2004,1050,1096
1185,2004,1253,1300
1198,2004,1121,1181
1229,2004,1263,1326
1232,2004,1105,1166
1234,2004,1484,1539
1274,2004,1362,1419
1321,2004,1479,1541
1345,2004,1614,1677
1438,2004,1426,1470
1456,2004,1169,1222
1111,2004,1161,1198
1112,2004,1926,1991
1125,2004,1210,1257
1128,2004,1256,1322
1150,2004,1441,1492
1151,2004,1337,1393
1178,2004,1485,1547
1216,2004,1203,1265
1218,2004,1460,1519
1233,2004,1225,1274
1237,2004,1457,1530
1248,2004,1040,1090
1263,2004,1070,1118
1264,2004,1534,1610
1308,2004,1488,1561
1323,2004,1572,1628
