Team,Season,rutung1,rutung2
1181,2009,1876,1947
1204,2009,1288,1338
1222,2009,1430,1478
1318,2009,1325,1378
1275,2009,1520,1591
1276,2009,1519,1591
1356,2009,1649,1715
1417,2009,2192,2294
1451,2009,1329,1387
1113,2009,1754,1834
1114,2009,1445,1519
1116,2009,1828,1914
1120,2009,1423,1475
1125,2009,1546,1622
1130,2009,1539,1609
1132,2009,1254,1310
1133,2009,1552,1615
1140,2009,1789,1857
1141,2009,1361,1424
1150,2009,1718,1808
1155,2009,1922,2011
1158,2009,1342,1408
1160,2009,1561,1646
1161,2009,1166,1219
1162,2009,1048,1084
1163,2009,1812,1880
1165,2009,1570,1651
1182,2009,1433,1503
1194,2009,1364,1429
1196,2009,1610,1671
1198,2009,1228,1291
1201,2009,1318,1381
1203,2009,1480,1556
1208,2009,1920,2033
1210,2009,1746,1828
1221,2009,1167,1214
1224,2009,770,813
1228,2009,1832,1931
1233,2009,1089,1137
1234,2009,1404,1462
1235,2009,1411,1466
1243,2009,1652,1717
1244,2009,1101,1160
1248,2009,1038,1081
1263,2009,814,853
1266,2009,1829,1906
1268,2009,1561,1615
1279,2009,1644,1714
1291,2009,1527,1625
1307,2009,1660,1725
1315,2009,900,1000
1328,2009,1892,1987
1329,2009,1829,1915
1332,2009,1803,1887
1336,2009,1648,1730
1338,2009,2055,2162
1345,2009,1785,1851
1346,2009,1190,1254
1348,2009,1479,1550
1353,2009,1432,1502
1362,2009,1181,1227
1363,2009,1219,1282
1371,2009,1412,1457
1375,2009,1572,1639
1376,2009,1661,1745
1378,2009,1447,1517
1382,2009,1225,1296
1385,2009,1571,1648
1386,2009,1728,1818
1390,2009,1962,2050
1392,2009,976,1034
1395,2009,1390,1449
1396,2009,1885,1990
1400,2009,2030,2118
1402,2009,1226,1300
1403,2009,1647,1715
1406,2009,1342,1415
1419,2009,1085,1134
1423,2009,1436,1497
1430,2009,1248,1308
1431,2009,1511,1587
1437,2009,1884,1979
1439,2009,1790,1866
1440,2009,1040,1086
1448,2009,1605,1669
1454,2009,1318,1364
1461,2009,1314,1364
1462,2009,1811,1883
1103,2009,1588,1662
1119,2009,1250,1315
1123,2009,1167,1224
1138,2009,1257,1320
1139,2009,1902,1983
1143,2009,1691,1772
1156,2009,1672,1757
1190,2009,1316,1380
1191,2009,1280,1334
1199,2009,1824,1909
1206,2009,1561,1643
1220,2009,1278,1331
1229,2009,1816,1900
1231,2009,1719,1778
1247,2009,1542,1623
1250,2009,1176,1232
1256,2009,1144,1202
1261,2009,1603,1670
1264,2009,1137,1196
1272,2009,2153,2249
1278,2009,1684,1764
1280,2009,1807,1886
1281,2009,1600,1674
1296,2009,1074,1120
1301,2009,1446,1496
1305,2009,1615,1688
1308,2009,1626,1701
1314,2009,2180,2273
1320,2009,1628,1710
1339,2009,1080,1124
1340,2009,1636,1717
1397,2009,2003,2081
1408,2009,1427,1503
1409,2009,1731,1827
1412,2009,1672,1752
1424,2009,1838,1918
1425,2009,1942,2032
1450,2009,1882,1964
1452,2009,1900,1991
1102,2009,1518,1587
1153,2009,1459,1504
1166,2009,1678,1749
1168,2009,1671,1756
1173,2009,1676,1757
1188,2009,900,1000
1242,2009,2135,2233
1259,2009,1419,1486
1273,2009,867,904
1277,2009,1839,1920
1292,2009,1519,1599
1298,2009,1272,1328
1304,2009,1787,1872
1310,2009,1358,1414
1313,2009,1038,1087
1321,2009,1333,1394
1323,2009,1854,1925
1325,2009,1392,1449
1330,2009,1384,1435
1366,2009,1116,1179
1401,2009,1800,1879
1413,2009,1008,1056
1416,2009,1369,1428
1433,2009,1561,1619
1435,2009,1763,1826
1438,2009,1667,1745
1455,2009,1311,1369
1458,2009,2093,2189
1110,2009,1514,1597
1112,2009,1684,1752
1122,2009,1519,1597
1149,2009,1070,1140
1159,2009,1394,1470
1172,2009,1813,1900
1177,2009,1513,1574
1207,2009,2045,2136
1218,2009,1139,1175
1245,2009,1798,1881
1260,2009,1356,1417
1283,2009,1640,1722
1288,2009,1318,1381
1324,2009,1374,1443
1373,2009,1661,1749
1388,2009,1584,1638
1429,2009,1571,1634
1124,2009,1665,1732
1131,2009,1262,1326
1180,2009,1140,1189
1184,2009,1079,1126
1193,2009,1334,1392
1211,2009,1715,1782
1241,2009,1196,1257
1249,2009,1270,1317
1255,2009,1044,1115
1286,2009,1121,1164
1344,2009,1632,1712
1352,2009,1528,1605
1360,2009,1729,1819
1379,2009,1596,1676
1391,2009,1167,1226
1393,2009,1755,1837
1399,2009,1106,1159
1415,2009,1280,1348
1421,2009,1336,1403
1428,2009,1490,1547
1434,2009,1604,1680
1436,2009,1217,1276
1444,2009,1513,1576
1449,2009,1637,1702
1104,2009,1677,1756
1107,2009,1234,1300
1111,2009,1317,1378
1117,2009,1100,1156
1135,2009,1448,1518
1179,2009,1900,1991
1186,2009,1209,1269
1187,2009,1258,1323
1217,2009,1019,1073
1227,2009,1537,1609
1282,2009,1194,1259
1311,2009,1227,1305
1447,2009,1388,1456
1456,2009,1432,1505
1147,2009,999,1049
1152,2009,1184,1246
1195,2009,962,1015
1214,2009,1116,1167
1252,2009,1212,1271
1254,2009,1157,1224
1270,2009,1170,1225
1285,2009,1243,1298
1317,2009,1399,1464
1326,2009,1732,1808
1349,2009,982,1032
1351,2009,1512,1588
1142,2009,1181,1230
1167,2009,1027,1073
1174,2009,1282,1341
1274,2009,1692,1752
1322,2009,1323,1394
1374,2009,1218,1283
1398,2009,1297,1369
1407,2009,1240,1309
1420,2009,1478,1555
1129,2009,1708,1794
1136,2009,900,1000
1144,2009,831,862
1145,2009,1098,1168
1146,2009,1000,1043
1178,2009,1205,1263
1216,2009,1319,1390
1225,2009,1306,1384
1236,2009,1285,1350
1240,2009,1017,1074
1246,2009,1793,1868
1253,2009,1025,1073
1257,2009,1905,1980
1265,2009,1392,1465
1293,2009,1211,1268
1335,2009,1231,1289
1361,2009,1577,1650
1384,2009,843,883
1387,2009,1421,1478
1404,2009,1264,1326
1453,2009,1430,1498
1459,2009,1207,1268
1106,2009,1098,1145
1197,2009,1135,1195
1343,2009,915,962
1342,2009,928,980
1350,2009,1526,1597
1359,2009,1119,1169
1463,2009,1192,1254
1137,2009,1143,1201
1148,2009,1212,1271
1154,2009,890,940
1171,2009,1028,1079
1237,2009,1512,1576
1251,2009,1136,1199
1295,2009,1356,1426
1418,2009,1308,1364
1294,2009,1278,1346
1334,2009,1415,1477
1383,2009,982,1040
1389,2009,969,1023
1443,2009,1734,1819
1370,2009,900,1000
1157,2009,1019,1064
1299,2009,973,1016
1364,2009,1457,1515
1369,2009,860,896
1394,2009,1181,1239
1441,2009,1108,1156
1126,2009,859,906
1127,2009,1131,1183
1212,2009,862,909
1238,2009,1066,1127
1267,2009,1350,1404
1284,2009,1002,1065
1309,2009,1279,1336
1358,2009,1292,1344
1426,2009,1448,1532
1442,2009,1100,1153
1287,2009,1126,1178
1333,2009,1206,1258
1355,2009,895,931
1357,2009,1387,1465
1365,2009,1261,1313
1368,2009,1262,1328
1372,2009,1411,1466
