Team,Season,rutung1,rutung2
1272,2008,1965,2045
1350,2008,1301,1379
1205,2008,988,1031
1246,2008,1712,1780
1404,2008,1024,1077
1146,2008,1116,1188
1163,2008,1591,1657
1328,2008,1645,1723
1102,2008,1483,1527
1104,2008,1611,1672
1116,2008,1877,1968
1125,2008,1450,1527
1129,2008,1531,1607
1131,2008,1142,1198
1135,2008,1188,1252
1139,2008,1643,1715
1147,2008,1059,1104
1150,2008,1357,1416
1156,2008,1224,1285
1159,2008,1056,1112
1166,2008,1883,1979
1168,2008,1332,1391
1180,2008,1635,1708
1181,2008,1681,1735
1182,2008,1134,1178
1196,2008,2025,2122
1199,2008,1739,1814
1200,2008,1488,1550
1201,2008,1666,1745
1206,2008,1555,1640
1208,2008,1722,1797
1222,2008,1582,1658
1234,2008,1720,1794
1235,2008,1568,1638
1241,2008,1063,1120
1242,2008,2156,2261
1243,2008,1798,1884
1269,2008,1614,1679
1276,2008,1760,1842
1285,2008,1285,1344
1294,2008,951,1002
1298,2008,991,1034
1307,2008,1317,1367
1320,2008,1592,1666
1325,2008,1332,1381
1329,2008,1693,1774
1338,2008,1971,2061
1348,2008,1583,1656
1353,2008,1422,1481
1360,2008,1473,1543
1361,2008,1631,1697
1364,2008,1297,1352
1368,2008,1025,1054
1376,2008,1594,1667
1383,2008,1109,1173
1387,2008,1535,1602
1390,2008,1645,1704
1397,2008,1860,1937
1401,2008,1811,1875
1406,2008,1364,1431
1408,2008,1611,1692
1414,2008,1346,1415
1417,2008,1831,1891
1421,2008,1163,1234
1422,2008,1302,1356
1424,2008,1937,2032
1428,2008,1584,1666
1429,2008,1689,1770
1431,2008,1124,1159
1433,2008,1755,1845
1437,2008,1907,1992
1439,2008,1720,1793
1441,2008,1098,1150
1443,2008,1394,1463
1447,2008,994,1044
1448,2008,1684,1761
1450,2008,1859,1935
1453,2008,1430,1505
1110,2008,1254,1319
1130,2008,1713,1780
1132,2008,1160,1216
1137,2008,1514,1575
1140,2008,1806,1883
1153,2008,1445,1508
1165,2008,1256,1318
1169,2008,1139,1187
1171,2008,1037,1093
1173,2008,1565,1641
1178,2008,1261,1320
1203,2008,1733,1819
1207,2008,2155,2259
1221,2008,1573,1650
1227,2008,1454,1536
1264,2008,1113,1157
1266,2008,1836,1911
1273,2008,962,1005
1278,2008,1396,1454
1279,2008,1776,1862
1280,2008,1769,1852
1293,2008,1290,1347
1304,2008,1529,1587
1313,2008,997,1052
1332,2008,1966,2063
1334,2008,1210,1258
1352,2008,1015,1059
1380,2008,1032,1087
1388,2008,1442,1501
1403,2008,1740,1816
1405,2008,1545,1609
1411,2008,861,904
1412,2008,1311,1363
1420,2008,1130,1188
1423,2008,1132,1183
1435,2008,1754,1825
1445,2008,798,833
1451,2008,1480,1559
1462,2008,1713,1784
1463,2008,1301,1363
1106,2008,839,879
1124,2008,1673,1763
1142,2008,1548,1620
1185,2008,1316,1378
1210,2008,1768,1836
1211,2008,1735,1808
1214,2008,1017,1061
1217,2008,1137,1200
1228,2008,1769,1840
1239,2008,1130,1182
1259,2008,1368,1435
1265,2008,1474,1537
1268,2008,1884,1962
1299,2008,1099,1163
1330,2008,1707,1783
1339,2008,1274,1336
1343,2008,945,985
1346,2008,1163,1222
1359,2008,1199,1258
1371,2008,1434,1489
1416,2008,1450,1510
1438,2008,1708,1774
1444,2008,1429,1493
1458,2008,1960,2043
1114,2008,1167,1219
1119,2008,1078,1138
1155,2008,1657,1728
1162,2008,1288,1365
1195,2008,900,1000
1231,2008,1668,1726
1248,2008,935,979
1261,2008,1721,1808
1281,2008,1605,1672
1323,2008,1923,2015
1326,2008,2173,2270
1336,2008,1389,1446
1382,2008,1152,1215
1386,2008,1455,1513
1393,2008,1836,1917
1400,2008,1948,2038
1409,2008,1454,1519
1426,2008,1187,1246
1112,2008,1789,1862
1120,2008,1618,1685
1138,2008,1174,1226
1157,2008,1034,1083
1176,2008,945,987
1255,2008,849,882
1260,2008,1561,1637
1275,2008,1658,1744
1277,2008,1741,1812
1286,2008,1080,1121
1287,2008,1013,1064
1305,2008,1741,1802
1372,2008,986,1014
1373,2008,1439,1510
1395,2008,1479,1554
1449,2008,1787,1870
1455,2008,1480,1535
1464,2008,1370,1436
1107,2008,1506,1584
1127,2008,1132,1190
1133,2008,1730,1810
1143,2008,1667,1748
1216,2008,1128,1189
1219,2008,1181,1226
1229,2008,1484,1540
1250,2008,993,1030
1288,2008,974,1025
1308,2008,1785,1877
1309,2008,1251,1315
1314,2008,1985,2074
1317,2008,1532,1619
1347,2008,840,879
1358,2008,1311,1355
1381,2008,1070,1108
1385,2008,1656,1732
1394,2008,1572,1643
1430,2008,1440,1506
1454,2008,1296,1368
1111,2008,1589,1656
1160,2008,1481,1561
1161,2008,1597,1683
1186,2008,1338,1404
1193,2008,1301,1356
1245,2008,1563,1628
1271,2008,692,738
1274,2008,1570,1639
1301,2008,1817,1902
1344,2008,1612,1672
1345,2008,1836,1921
1363,2008,1090,1139
1425,2008,1834,1915
1434,2008,1264,1322
1103,2008,1630,1697
1158,2008,1539,1616
1192,2008,963,1003
1194,2008,1325,1388
1204,2008,1269,1335
1244,2008,1210,1282
1254,2008,969,1019
1256,2008,1394,1465
1292,2008,1291,1351
1310,2008,1622,1704
1340,2008,1283,1338
1457,2008,1787,1880
1122,2008,1313,1369
1152,2008,1024,1065
1167,2008,900,1000
1177,2008,1731,1803
1189,2008,1004,1049
1190,2008,1359,1417
1220,2008,1527,1585
1224,2008,691,716
1237,2008,1272,1324
1247,2008,1188,1251
1251,2008,1009,1049
1252,2008,1137,1185
1253,2008,1678,1761
1257,2008,1923,2004
1258,2008,1250,1297
1263,2008,1026,1072
1283,2008,1708,1779
1284,2008,971,1019
1295,2008,1333,1395
1306,2008,1060,1116
1319,2008,1405,1468
1324,2008,1365,1430
1351,2008,1195,1245
1356,2008,1940,2022
1362,2008,1366,1423
1366,2008,934,983
1375,2008,1255,1291
1378,2008,1407,1467
1389,2008,915,958
1402,2008,893,937
1427,2008,943,991
1218,2008,1563,1635
1333,2008,1440,1504
1396,2008,1292,1346
1452,2008,1765,1838
1318,2008,1418,1492
1365,2008,1532,1590
1460,2008,1752,1843
1461,2008,1551,1620
1113,2008,1445,1523
1115,2008,1067,1126
1148,2008,1485,1564
1232,2008,1432,1497
1267,2008,1414,1485
1322,2008,1281,1341
1331,2008,1514,1582
1335,2008,1558,1634
1369,2008,1049,1095
1436,2008,1459,1523
1442,2008,1058,1128
1198,2008,1223,1283
1300,2008,900,1000
1337,2008,1280,1344
1391,2008,1049,1110
1413,2008,1037,1094
1440,2008,1118,1185
1149,2008,849,895
1151,2008,1301,1369
1164,2008,1077,1134
1354,2008,972,1015
1355,2008,919,970
1117,2008,1449,1523
1144,2008,1157,1224
1172,2008,1764,1847
1179,2008,1662,1742
1191,2008,1459,1525
1197,2008,1343,1427
1209,2008,1318,1390
1238,2008,1273,1355
1415,2008,1041,1097
1456,2008,1263,1319
1154,2008,928,967
1282,2008,1256,1324
1341,2008,923,978
1419,2008,1170,1214
1410,2008,1057,1114
1233,2008,864,899
1349,2008,1379,1444
1357,2008,1323,1393
1126,2008,933,982
1141,2008,1323,1390
1175,2008,1293,1353
1184,2008,1460,1532
1226,2008,1122,1174
1270,2008,1298,1368
1291,2008,1043,1099
1296,2008,1201,1271
1311,2008,1146,1203
1321,2008,1404,1461
1342,2008,900,1000
1374,2008,1120,1163
1384,2008,1086,1164
1392,2008,941,985
1407,2008,1208,1258
1187,2008,955,1004
1174,2008,983,1026
1236,2008,1147,1202
1399,2008,1284,1333
1398,2008,1049,1096
1459,2008,1151,1209
1225,2008,1026,1087
1145,2008,1062,1110
1379,2008,1459,1525
1418,2008,1164,1219
1367,2008,900,1000
1249,2008,1210,1260
