Team,Season,rutung1,rutung2
1104,2016,1739,1826
1105,2016,994,1057
1112,2016,2271,2383
1115,2016,1165,1243
1116,2016,2077,2187
1120,2016,1854,1964
1124,2016,2026,2118
1125,2016,1725,1835
1133,2016,1318,1394
1140,2016,1945,2047
1141,2016,1645,1728
1143,2016,1815,1910
1151,2016,1525,1605
1153,2016,1855,1948
1155,2016,1700,1778
1158,2016,1249,1324
1159,2016,1443,1524
1163,2016,1916,2019
1170,2016,1381,1448
1173,2016,1848,1943
1174,2016,1405,1476
1181,2016,2220,2320
1184,2016,1467,1545
1185,2016,1581,1656
1187,2016,1583,1664
1188,2016,1348,1426
1189,2016,1392,1470
1196,2016,1871,1973
1201,2016,1677,1764
1202,2016,1388,1490
1203,2016,1734,1821
1210,2016,1594,1676
1213,2016,1316,1392
1216,2016,1158,1222
1218,2016,1646,1742
1220,2016,1417,1488
1221,2016,1419,1499
1231,2016,1822,1913
1234,2016,1913,2001
1235,2016,2218,2335
1237,2016,1285,1357
1241,2016,1451,1516
1242,2016,2057,2157
1243,2016,1787,1871
1246,2016,2412,2538
1252,2016,1333,1416
1257,2016,1988,2075
1258,2016,1314,1373
1260,2016,1634,1727
1261,2016,1864,1954
1268,2016,2062,2157
1274,2016,1893,1987
1277,2016,2098,2202
1278,2016,1757,1835
1279,2016,1767,1847
1280,2016,1605,1684
1281,2016,1565,1648
1284,2016,1508,1587
1285,2016,1521,1599
1295,2016,1741,1843
1296,2016,1555,1643
1305,2016,1380,1452
1307,2016,1429,1494
1308,2016,1700,1792
1314,2016,2115,2226
1316,2016,1629,1720
1318,2016,1631,1725
1321,2016,1758,1837
1323,2016,2265,2388
1329,2016,1801,1886
1330,2016,1647,1726
1331,2016,1549,1634
1332,2016,2090,2193
1335,2016,1354,1442
1343,2016,1594,1690
1345,2016,1967,2065
1348,2016,1797,1884
1356,2016,1438,1523
1357,2016,1373,1453
1361,2016,1865,1947
1362,2016,1666,1762
1364,2016,1702,1792
1371,2016,1633,1708
1382,2016,1692,1773
1385,2016,1952,2042
1386,2016,1561,1639
1389,2016,1409,1491
1390,2016,1767,1848
1393,2016,1877,1970
1395,2016,1801,1893
1397,2016,1754,1847
1398,2016,1046,1111
1401,2016,1683,1751
1403,2016,1716,1814
1407,2016,1108,1165
1424,2016,1623,1700
1425,2016,1727,1828
1428,2016,1908,1996
1429,2016,1576,1638
1433,2016,1999,2110
1434,2016,1824,1920
1435,2016,1841,1930
1437,2016,2315,2425
1438,2016,2144,2232
1442,2016,1105,1160
1448,2016,1664,1747
1449,2016,1646,1728
1450,2016,1701,1789
1452,2016,1949,2038
1454,2016,1645,1748
1455,2016,1977,2063
1456,2016,1490,1569
1460,2016,1112,1167
1462,2016,2053,2160
1463,2016,1557,1635
1103,2016,1657,1755
1106,2016,1221,1291
1111,2016,1436,1525
1130,2016,1803,1904
1132,2016,1507,1582
1139,2016,1904,1988
1161,2016,1845,1930
1166,2016,1711,1792
1169,2016,1317,1394
1172,2016,1901,1992
1176,2016,1370,1449
1177,2016,1535,1600
1225,2016,1171,1224
1245,2016,1599,1683
1247,2016,1661,1750
1269,2016,1556,1625
1272,2016,1777,1871
1304,2016,1564,1631
1325,2016,1398,1475
1336,2016,1836,1933
1344,2016,1966,2060
1347,2016,1321,1387
1374,2016,2130,2241
1376,2016,1851,1946
1409,2016,1824,1908
1426,2016,1197,1255
1457,2016,1401,1484
1119,2016,1165,1228
1191,2016,1504,1579
1199,2016,1878,1971
1228,2016,1762,1834
1248,2016,1595,1695
1301,2016,1983,2086
1326,2016,1915,2000
1350,2016,1809,1895
1353,2016,1457,1523
1377,2016,1546,1630
1387,2016,1369,1440
1413,2016,1683,1767
1414,2016,1784,1893
1417,2016,1962,2062
1441,2016,1339,1417
1458,2016,2273,2383
1102,2016,1595,1679
1113,2016,1806,1891
1123,2016,1169,1238
1126,2016,1008,1067
1129,2016,1862,1948
1131,2016,1320,1387
1135,2016,1321,1399
1145,2016,1386,1457
1165,2016,1291,1363
1182,2016,1614,1701
1229,2016,1814,1914
1232,2016,1515,1590
1253,2016,1488,1566
1254,2016,1257,1322
1266,2016,1744,1836
1273,2016,1375,1449
1276,2016,1831,1922
1312,2016,1506,1598
1342,2016,1084,1157
1355,2016,1620,1703
1363,2016,900,1000
1366,2016,1019,1078
1380,2016,1324,1408
1388,2016,1620,1687
1406,2016,1193,1259
1408,2016,1454,1529
1412,2016,1697,1798
1423,2016,1436,1507
1154,2016,1114,1175
1160,2016,1753,1840
1167,2016,1242,1311
1168,2016,1131,1189
1186,2016,1616,1705
1190,2016,1196,1256
1214,2016,1435,1531
1238,2016,1055,1122
1256,2016,1666,1739
1265,2016,1343,1425
1293,2016,1786,1882
1303,2016,1437,1528
1320,2016,2023,2125
1328,2016,2037,2132
1333,2016,1611,1681
1444,2016,1577,1660
1137,2016,1485,1562
1211,2016,2149,2251
1219,2016,1333,1393
1222,2016,1614,1708
1236,2016,1453,1526
1262,2016,1182,1260
1310,2016,1321,1403
1324,2016,1432,1492
1405,2016,1541,1611
1436,2016,1415,1493
1439,2016,1588,1688
1107,2016,1720,1819
1150,2016,1397,1465
1206,2016,1392,1463
1259,2016,1215,1278
1298,2016,1349,1426
1306,2016,1427,1507
1396,2016,1933,2029
1415,2016,1409,1482
1419,2016,1414,1484
1136,2016,1451,1539
1207,2016,1975,2067
1208,2016,1954,2053
1233,2016,1644,1720
1275,2016,1475,1546
1286,2016,1141,1207
1338,2016,1734,1808
1354,2016,1021,1083
1373,2016,1304,1384
1114,2016,1315,1384
1138,2016,1859,1963
1142,2016,1426,1506
1193,2016,1094,1158
1194,2016,1177,1239
1195,2016,1353,1404
1198,2016,1487,1566
1200,2016,1518,1596
1249,2016,1318,1401
1282,2016,1229,1296
1287,2016,1517,1607
1288,2016,969,1021
1292,2016,1598,1687
1315,2016,1031,1090
1359,2016,1212,1284
1384,2016,1343,1427
1400,2016,1952,2053
1416,2016,1384,1448
1420,2016,928,992
1427,2016,1351,1420
1431,2016,1598,1674
1443,2016,1450,1516
1447,2016,1220,1292
1459,2016,1710,1803
1117,2016,1185,1248
1122,2016,1188,1261
1162,2016,1289,1358
1339,2016,1590,1674
1340,2016,1310,1377
1346,2016,1298,1360
1404,2016,1384,1458
1146,2016,930,997
1179,2016,1257,1309
1224,2016,1196,1266
1244,2016,1073,1129
1337,2016,1649,1732
1370,2016,1368,1451
1451,2016,1268,1338
1464,2016,1199,1267
1127,2016,1127,1205
1144,2016,1000,1061
1149,2016,1381,1457
1156,2016,1571,1654
1157,2016,1523,1619
1375,2016,1367,1440
1378,2016,1350,1421
1392,2016,1546,1633
1399,2016,1124,1186
1410,2016,1116,1183
1440,2016,1216,1289
1453,2016,1647,1729
1217,2016,1694,1783
1263,2016,885,940
1264,2016,1719,1817
1309,2016,1163,1236
1349,2016,1434,1511
1351,2016,1512,1583
1411,2016,1545,1639
1461,2016,1853,1955
1372,2016,1892,1990
1391,2016,1115,1184
1394,2016,1487,1573
1421,2016,1192,1258
1101,2016,1023,1091
1204,2016,1489,1568
1205,2016,1327,1398
1209,2016,1704,1798
1240,2016,1232,1305
1271,2016,1252,1314
1358,2016,1627,1718
1110,2016,1432,1522
1192,2016,1101,1174
1197,2016,904,971
1255,2016,1264,1359
1352,2016,1633,1739
1360,2016,1571,1643
1402,2016,1275,1352
1171,2016,1658,1771
1365,2016,1537,1617
1383,2016,1523,1604
1422,2016,1309,1399
1299,2016,1004,1063
1313,2016,1249,1310
1183,2016,1401,1482
1291,2016,1335,1406
1223,2016,1224,1305
1300,2016,1497,1561
1178,2016,1461,1540
1180,2016,1308,1370
1239,2016,1161,1227
1283,2016,1313,1380
1381,2016,1280,1354
1379,2016,1421,1510
1226,2016,1109,1179
1267,2016,1334,1401
1418,2016,1536,1618
1430,2016,1113,1177
1294,2016,1341,1423
1297,2016,1270,1341
1317,2016,1320,1375
1367,2016,1407,1478
1148,2016,1095,1161
1230,2016,1303,1370
1152,2016,1176,1250
1250,2016,1335,1399
1334,2016,1433,1514
1311,2016,1102,1163
1369,2016,1312,1385
1108,2016,815,870
1212,2016,900,1000
1290,2016,887,951
1341,2016,1286,1363
1251,2016,935,1000
1319,2016,1488,1565
1164,2016,1162,1234
1270,2016,1290,1371
1368,2016,902,945
1175,2016,1374,1459
1322,2016,1482,1565
1227,2016,1413,1499
